,data_collection_time,symbol,expiry,strike,kind,und_price,bid_price,ask_price,mid_price,last_price,volume,ib_bid_delta
1231,2021-06-25 11:54:47.239308,AMC,2021-07-02,44.0,C,54.33000183105469,11.2,11.6,11.399999999999999,10.95,61.0,0.8689869570274044
1232,2021-06-25 11:54:47.239308,AMC,2021-07-02,45.0,C,54.33000183105469,10.5,10.75,10.625,10.65,293.0,0.8379833728224055
1233,2021-06-25 11:54:47.239308,AMC,2021-07-02,46.0,C,54.33000183105469,9.5,10.05,9.775,10.0,49.0,0.8261042588464917
1234,2021-06-25 11:54:47.239308,AMC,2021-07-02,47.0,C,54.33000183105469,9.05,9.35,9.2,9.0,112.0,0.7817829082564783
1235,2021-06-25 11:54:47.239308,AMC,2021-07-02,48.0,C,54.33000183105469,8.4,8.7,8.55,8.4,119.0,0.7508080520953369
1236,2021-06-25 11:54:47.239308,AMC,2021-07-02,48.5,C,54.33000183105469,8.1,8.3,8.2,8.25,28.0,0.7360484349561698
1237,2021-06-25 11:54:47.239308,AMC,2021-07-02,49.0,C,54.33000183105469,7.75,7.95,7.85,8.15,135.0,0.7211096859036698
1238,2021-06-25 11:54:47.239308,AMC,2021-07-02,50.0,C,54.33000183105469,7.2,7.35,7.275,7.3,1530.0,0.6863418473045773
1239,2021-06-25 11:54:47.239308,AMC,2021-07-02,51.0,C,54.33000183105469,6.65,6.8,6.725,7.0,742.0,0.6535067222642775
1240,2021-06-25 11:54:47.239308,AMC,2021-07-02,52.0,C,54.33000183105469,6.1,6.3,6.199999999999999,6.0,508.0,0.6210362195536283
1241,2021-06-25 11:54:47.239308,AMC,2021-07-02,53.0,C,54.33000183105469,5.65,5.8,5.725,5.75,1034.0,0.5882779514157559
1242,2021-06-25 11:54:47.239308,AMC,2021-07-02,54.0,C,54.33000183105469,5.25,5.35,5.3,5.35,3412.0,0.556706010116599
1243,2021-06-25 11:54:47.239308,AMC,2021-07-02,55.0,C,54.33000183105469,4.8,4.95,4.875,4.95,5207.0,0.5260996963272533
1244,2021-06-25 11:54:47.239308,AMC,2021-07-02,56.0,C,54.33000183105469,4.45,4.6,4.525,4.55,2566.0,0.4957060082751267
1245,2021-06-25 11:54:47.239308,AMC,2021-07-02,57.0,C,54.33000183105469,4.1,4.2,4.15,4.15,1911.0,0.4667177735764713
1246,2021-06-25 11:54:47.239308,AMC,2021-07-02,58.0,C,54.33000183105469,3.8,3.95,3.875,3.9,1349.0,0.4395592107524446
1247,2021-06-25 11:54:47.239308,AMC,2021-07-02,59.0,C,54.33000183105469,3.5,3.65,3.575,3.55,1255.0,0.4127130550149423
1248,2021-06-25 11:54:47.240307,AMC,2021-07-02,60.0,C,54.33000183105469,3.3,3.35,3.325,3.3,7531.0,0.3883607685244515
1249,2021-06-25 11:54:47.240307,AMC,2021-07-02,61.0,C,54.33000183105469,3.05,3.1,3.075,3.1,880.0,0.36668135017050896
1250,2021-06-25 11:54:47.240307,AMC,2021-07-02,62.0,C,54.310001373291016,2.85,2.88,2.865,2.87,1111.0,0.3434446737639549
1251,2021-06-25 11:54:47.240307,AMC,2021-07-02,63.0,C,54.310001373291016,2.62,2.68,2.6500000000000004,2.65,1056.0,0.3225846964941385
1252,2021-06-25 11:54:47.240307,AMC,2021-07-02,64.0,C,54.310001373291016,2.45,2.5,2.475,2.47,907.0,0.30405233710203056
1253,2021-06-25 11:54:47.240307,AMC,2021-07-02,65.0,C,54.310001373291016,2.28,2.34,2.3099999999999996,2.31,2592.0,0.2855805124440059
1254,2021-06-25 11:54:47.240307,AMC,2021-07-02,66.0,C,54.310001373291016,2.15,2.19,2.17,2.26,745.0,0.2685748162552996
1255,2021-06-25 11:54:47.242308,AMC,2021-07-02,67.0,C,54.310001373291016,2.0,2.06,2.0300000000000002,2.0,465.0,0.2531952643082851
1256,2021-06-25 11:54:47.250312,AMC,2021-07-02,68.0,C,54.310001373291016,1.89,1.93,1.91,1.98,580.0,0.24006243718223222
1257,2021-06-25 11:54:47.251308,AMC,2021-07-02,69.0,C,54.310001373291016,1.78,1.82,1.8,1.82,646.0,0.22669828541285336
1258,2021-06-25 11:54:47.251308,AMC,2021-07-02,70.0,C,54.310001373291016,1.7,1.72,1.71,1.7,3637.0,0.2149782249351577
1259,2021-06-25 11:54:47.251308,AMC,2021-07-02,71.0,C,54.310001373291016,1.6,1.63,1.615,1.74,209.0,0.20357045932000462
1260,2021-06-25 11:54:47.251308,AMC,2021-07-02,72.0,C,54.310001373291016,1.51,1.55,1.53,1.6,379.0,0.19327562388333772
1261,2021-06-25 11:54:47.251308,AMC,2021-07-02,73.0,C,54.310001373291016,1.44,1.47,1.455,1.48,312.0,0.1846344635466099
